coursecode,coursename,classname,examsession,pointfaculty,facultyname_1,facultyname_2,facultyname_3,facultyname_4,description
CET1503,Environmental Engineering and Process Safety,TYCE,1,ab.pandit,A. B. Pandit,,,,
CET1703,Instrumentation and Process Control,TYCE,1,pd.vaidya,P. D. Vaidya,,,,
CET1603,Elective II Interfacial Science and Engineering,TYCE,1,ss.bhagwat,S. S. Bhagwat,,,,
CET1403,Elective II Adsorptive Separations,TYCE,1,am.lali,A. M. Lali,,,,
HUT1104,Industrial Management,FNCE,1,m.sriram,M. Sriram,O. P. Goyal,,,
MAT1106,Design and Analysis of Experiments,FNCE,1,pd.vaidya,P. D. Vaidya,,,,
CET1106,Elective VI CFD Application of Chemical Processes,FNCE,1,cs.mathpati,C. S. Mathpati,,,,
CET1509,Elective VI Refinery Science and Engineering,FNCE,1,op.goyal,O. P. Goyal,,,,
HUT1103,Industrial Psychology and Human Resource Management,FNCE,1,bn.thorat,Tejal Dhulla,,,,
CET2151,Advanced Momentum Transfer,MCHE,2,av.patwardhan,A. V. Patwardhan,,,,
CET2152,Advanced Heat Transfer,MCHE,2,vk.rathod,V. K. Rathod,,S. Kasthurirangan,,
CET2153,Advanced Mass Transfer Operations,MCHE,2,pd.vaidya,P. D. Vaidya,,,,
CET2351,Thermodynamics of Phase Equilibria,MCHE,2,aw.patwardhan,A. W. Patwardhan,,,,
CET2251,Advanced Reaction Engineering,MCHE,2,pr.gogate,P. R. Gogate,,,,
MAT1104,Applied Mathematics ,FYCE,2,a.kumar,S. Mahapatra,,,,
CHT1121,Inorganic Chemistry,FYCE,2,bm.bhanage,B. M. Bhanage,A. Yadav,,,
CHT1131,Organic Chemistry ,FYCE,2,v.kumar,S. D. Samant,A. Vijay Kumar,,,
PYT1101,Applied Physics I,FYCE,2,vd.deshpande,V. D. Deshpande,R. R. Deshmukh,,,
MAT1103,Applied Mathematics III,SYCE,2,a.kumar,S. Gautam,,,,
PYT1201,Elective I Statistical Mechanics,SYCE,2,m.narayan,M. Narayan,,,,
GET1114,Elective II: Advanced strength of materils,SYCE,2,vr.gaval,V. R. Gaval,,,,
CHT1341,Physical Chemistry,SYCE,2,rv.jayaram,R. V. Jayaram,J. M. Nagarkar,,,
CET1301,Chemical Engineering Thermodynamics I,SYCE,2,ss.bhagwat,S. S. Bhagwat,,,,
BST1107,Biologial Sciences,SYCE,2, rd.jain,R. D. Jain,,,,
GET1102,Structural Mehanics,SYCE,2,dd.sarode,D. D. Sarode,,,,
CET1101,Momentum and Mass Transfer,SYCE,2,aw.patwardhan,A. W. Patwardhan,,,,
CET1502,Industrial and Engineering Chemistry,TYCE,2,vh.dalvi,K. V. Marathe,V. H. Dalvi,,,
CET1102,Heat Transfer,TYCE,2,vk.rathod,V. K. Rathod,,,,
CET1201,Chemical Reaction Engineering,TYCE,2,av.patwardhan,A. V. Patwardhan,,,,
CET1402,Separation Processes,TYCE,2,pr.gogate,P. R. Gogate,,,,
CET1202,Biochemical Engineering,TYCE,2,bn.thorat,Y. R. Gokarn,,,,
CET1504,Chemical Project Engineering and Economics,FNCE,2,ab.pandit,A. B. Pandit,,,,
CET1505,Process Engineering,FNCE,2,vg.gaikar,V. G. Gaikar,,,,
HUT1102,"Perspective of Society, Science and Technology",FNCE,2,bn.thorat,B. N. Thorat,,,,
CET1606,Elective III Advanced Materials,FNCE,2,nr.jha,N. R. Jha,,,,
CET1511,Elective III Plant Utilities,FNCE,2,bn.thorat,Ravi Mariwalla,,,,
MAT1102,Applied Mathematics II,FYCE,3,a.kumar,S. Mahapatra,S. K. Gautam,,,
CHT1211,Analytical Chemistry,FYCE,3,ss.tiwari,J. M. Nagarkar,S. S. Tiwari,,,
CET1501,Material and Energy Balance Computations,FYCE,3,aw.patwardhan,A. W. Patwardhan,,,,
PYT1103,Applied Physics II,FYCE,3,m.narayan,M. Narayan,S. Kasthurirangan,,,
CHT1231,Organic Chemistry II,FYCE,3,bm.bhanage,S. D. Samant,B. M. Bhanage,,,
GET1109,Electrical Engineering and Electronics,SYCE,3,p.goswami,M. A. K. Kerawala,P. Goswami,,,
CET1302,Chemical Engineering Thermodynamics II,SYCE,3,ss.bhagwat,S. S. Bhagwat,,,,
GET1107,Energy Engineering,SYCE,3,vr.gaval,V. R. Gaval,R. S. N. Sahai,,,
MAT1104,Applied Mathematics IV,SYCE,3,a.kumar,A. Kumar,,,,
CET1401,Chemical Engineering Operations,SYCE,3,bn.thorat,B. N. Thorat,,,,
CET1601,Materials Technology,TYCE,3,kv.marathe,K. V. Marathe,,,,
CET1203,Multiphase Reaction Engineering,TYCE,3,vk.rathod,V. K. Rathod,,,,
CET1503,Environmental Engineering and Process Safety,TYCE,3,ab.pandit,A. B. Pandit,,,,
CET1703,Instrumentation and Process Control,TYCE,3,ss.jogwar,A. M. Lali,S. S. Jogwar,,,
CET1510,Elective II Fuels Engineering,TYCE,3,pd.vaidya,P. D. Vaidya,,,,
CET1210,Elective II Introduction to Polymer Engineering,TYCE,3,pr.nemade,P. R. Nemade,,,,
